Concept,x,y,dragStart,dragStop,oldX,oldY
Photosynthese,561.0,135.0,1558,1730,56.0,52.0
Infrastruktur,342.0,303.0,2231,2630,52.0,49.0
Fahrrad,321.0,49.0,2995,3924,48.0,46.0
Photosynthese,851.0,145.0,4257,4434,561.0,135.0
Fahrrad,462.0,304.0,4826,5745,321.0,49.0
Baum,878.0,247.0,6265,8003,44.0,43.0
Laub,975.0,189.0,8515,10229,40.0,40.0
Baum,877.0,261.0,10676,11275,878.0,247.0
Laub,956.0,169.0,11463,12083,975.0,189.0
Physik,579.0,196.0,2288,2505,56.0,52.0
Baum,122.0,394.0,2808,3020,52.0,49.0
Schule,250.0,200.0,3351,3634,48.0,46.0
Photosynthese,719.0,242.0,3936,5672,44.0,43.0
Physik,709.0,155.0,5920,6704,579.0,196.0
Schule,576.0,78.0,7066,8153,250.0,200.0
Physik,703.0,134.0,8624,8836,709.0,155.0
Photosynthese,836.0,191.0,9117,9887,719.0,242.0
Baum,874.0,290.0,11141,12157,122.0,394.0
Fahrrad,420.0,298.0,12887,17085,40.0,40.0
Schule,620.0,152.0,1281,1483,56.0,52.0
Erde,169.0,338.0,1911,2116,52.0,49.0
Infrastruktur,499.0,394.0,2455,2718,48.0,46.0
Ast,299.0,91.0,3155,3560,44.0,43.0
Schule,752.0,158.0,3891,4361,620.0,152.0
Infrastruktur,723.0,316.0,4681,5552,499.0,394.0
Ast,339.0,84.0,6762,7801,299.0,91.0
Lehrer,644.0,161.0,8429,10283,40.0,40.0
Infrastruktur,663.0,384.0,10641,10809,723.0,316.0
Erde,301.0,385.0,11579,13498,169.0,338.0
Ast,208.0,81.0,13900,14835,339.0,84.0
Infrastruktur,760.0,339.0,16799,17693,663.0,384.0
Laub,820.0,207.0,1415,2059,56.0,52.0
Lehrer,111.0,420.0,2545,2848,52.0,49.0
Baum,823.0,294.0,3297,4730,48.0,46.0
Ast,712.0,249.0,5156,7359,44.0,43.0
Schule,218.0,422.0,7871,9369,40.0,40.0
Lehrer,827.0,164.0,1532,2033,56.0,52.0
Photosynthese,622.0,279.0,2463,3160,52.0,49.0
Laub,514.0,280.0,3621,5339,48.0,46.0
Schule,831.0,77.0,5788,7666,44.0,43.0
Infrastruktur,1026.0,45.0,8317,9823,40.0,40.0
Photosynthese,638.0,335.0,10312,12086,622.0,279.0
Laub,521.0,333.0,12286,13012,514.0,280.0
Lehrer,860.0,190.0,13458,13986,827.0,164.0
Schule,755.0,189.0,14432,16164,831.0,77.0
Lehrer,891.0,197.0,16375,16526,860.0,190.0
Lehrer,868.0,185.0,17125,17857,891.0,197.0
Infrastruktur,1083.0,40.0,18639,18921,1026.0,45.0
Laub,696.0,132.0,1351,1637,56.0,52.0
Fahrrad,131.0,345.0,2057,2396,52.0,49.0
Infrastruktur,450.0,356.0,2761,3005,48.0,46.0
Erde,462.0,119.0,3354,4991,44.0,43.0
Infrastruktur,488.0,423.0,6749,6919,450.0,356.0
Fahrrad,345.0,421.0,7371,9052,131.0,345.0
Lehrer,392.0,622.0,9558,14643,40.0,40.0
Lehrer,861.0,200.0,1499,1731,56.0,52.0
Fahrrad,754.0,393.0,2227,3033,52.0,49.0
Photosynthese,699.0,136.0,3494,4556,48.0,46.0
Photosynthese,673.0,146.0,5256,5505,699.0,136.0
Fahrrad,809.0,357.0,5769,5990,754.0,393.0
Laub,552.0,144.0,7310,9318,44.0,43.0
Physik,785.0,77.0,9717,13507,40.0,40.0
Lehrer,1002.0,214.0,13842,14045,861.0,200.0
Fahrrad,834.0,444.0,14475,16674,809.0,357.0
Lehrer,1076.0,171.0,17212,17380,1002.0,214.0
Physik,864.0,45.0,17787,18427,785.0,77.0
Fahrrad,882.0,355.0,18840,19222,834.0,444.0
Physik,887.0,29.0,19625,20757,864.0,45.0
Fahrrad,956.0,345.0,21108,22453,882.0,355.0
Lehrer,1078.0,214.0,22694,23334,1076.0,171.0
Fahrrad,1167.0,59.0,23889,25180,956.0,345.0
Physik,902.0,32.0,27271,27991,887.0,29.0
Physik,632.0,178.0,1354,1547,56.0,52.0
Ast,240.0,405.0,2000,2240,52.0,49.0
Laub,740.0,418.0,3590,4258,48.0,46.0
Baum,625.0,419.0,4673,6585,44.0,43.0
Ast,507.0,418.0,7028,8840,240.0,405.0
Erde,626.0,580.0,9345,10974,40.0,40.0
Erde,875.0,176.0,1659,1872,56.0,52.0
Ast,673.0,523.0,2324,2891,52.0,49.0
Photosynthese,366.0,384.0,3426,4110,48.0,46.0
Schule,439.0,173.0,4523,5255,44.0,43.0
Photosynthese,444.0,314.0,5608,6172,366.0,384.0
Fahrrad,1012.0,224.0,6703,8448,40.0,40.0
Photosynthese,444.0,297.0,8928,9762,444.0,314.0
Ast,577.0,552.0,10211,10609,673.0,523.0
Photosynthese,454.0,310.0,10912,11948,444.0,297.0
Ast,516.0,482.0,12260,13285,577.0,552.0
Fahrrad,627.0,25.0,13725,16434,1012.0,224.0
Schule,437.0,196.0,16866,17081,439.0,173.0
Ast,495.0,459.0,17507,17758,516.0,482.0
Erde,926.0,243.0,18190,18516,875.0,176.0
