SessionID,ConceptA,ConceptB,Distance,QstNr,Duration,TotalClicks,Percentage,AvgPercentage
f6155886-f394-4b5d-bdd5-bada2dab06d1,chemistry,infrastructure,133,0,25164,6.0,0.13759386244178157,0.16086349499744357
f5cd7f51-89a2-4baa-96e1-3dc505ed2e0e,chemistry,infrastructure,132,2,18410,6.0,0.18679424871219638,0.16086349499744357
4b623012-c785-4dd3-b628-3900071ae62b,chemistry,infrastructure,94,1,31595,10.0,0.1582023738383528,0.16086349499744357
bd447541-3691-44a6-a208-55e01ffa3dbe,street,teacher,204,2,45895,9.0,0.27207748556990613,0.20079676005892153
1dfc8599-8b54-47a8-948d-b6a6df0ba2cb,street,teacher,135,3,21702,11.0,0.2023822420257136,0.20079676005892153
e9798112-59da-4dab-809e-0658ed5d9fb2,street,teacher,134,0,26335,9.0,0.1279305525811448,0.20079676005892153
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,forest,university,130,2,23805,9.0,0.20861104046735404,0.20861104046735404
f6155886-f394-4b5d-bdd5-bada2dab06d1,hospital,street,148,3,34057,8.0,0.25663010535105507,0.21016817186679182
e9798112-59da-4dab-809e-0658ed5d9fb2,hospital,street,141,0,26335,9.0,0.13452326205809634,0.21016817186679182
e6c801f3-8c8b-4b53-b69f-698362463292,hospital,street,138,2,15771,5.0,0.23935114819122408,0.21016817186679182
f5cd7f51-89a2-4baa-96e1-3dc505ed2e0e,leaf,street,178,1,16847,6.0,0.22546318288071648,0.22546318288071648
1ffda676-ed6d-49ad-be8f-0bb93841bcf6,cellulose,water,142,2,25611,9.0,0.22792379060216783,0.22792379060216783
0e8a5da8-d37e-4833-87a1-8e485cd066bb,air,energy,142,1,20813,9.0,0.25651896965581555,0.25651896965581555
6eaa9365-57f9-4bad-aaf3-daf19447cedc,tree,tree trunk,117,3,23244,8.0,0.2646754689513381,0.2646754689513381
0e46c27b-8168-4d5d-ac5b-e585c8a2c0c2,leaf,school,199,2,68497,27.0,0.35611696518444114,0.26721951164264535
b22fcb29-1c68-4667-b605-29632f061600,leaf,school,79,0,38165,9.0,0.1783220581008495,0.26721951164264535
a4301f4d-0d04-4609-9fee-6a5564afa665,forest,house,173,0,42652,18.0,0.28475292476738034,0.2804656833090577
9888d7da-cb31-4e58-a748-19b862b809ce,forest,house,137,3,22422,9.0,0.2812231976782041,0.2804656833090577
fa8981a0-a672-44b1-a0ee-24dd41cf934a,forest,house,160,1,29012,8.0,0.31755636908478563,0.2804656833090577
12d82a3c-493e-4bb0-a456-310d2581cc78,forest,house,125,3,86956,38.0,0.23833024170586073,0.2804656833090577
a4301f4d-0d04-4609-9fee-6a5564afa665,bush,gas,86,2,24088,10.0,0.12900852434351195,0.284006173179507
0e46c27b-8168-4d5d-ac5b-e585c8a2c0c2,bush,gas,272,2,68497,27.0,0.4862363606436308,0.284006173179507
dfe173f0-4374-4a7a-8316-a8126dc68092,bush,gas,117,0,37353,14.0,0.23677363455137818,0.284006173179507
6197a6ee-30ff-43e2-83da-2acb367d97b9,air,branch,169,1,16343,10.0,0.24453465503007035,0.2875780226641591
0e46c27b-8168-4d5d-ac5b-e585c8a2c0c2,air,branch,150,3,71568,24.0,0.3306213902982479,0.2875780226641591
e6c801f3-8c8b-4b53-b69f-698362463292,cellulose,chemistry,211,2,15771,5.0,0.36530304899457583,0.2910133243492381
dfe173f0-4374-4a7a-8316-a8126dc68092,cellulose,chemistry,99,2,30601,13.0,0.21672359970390032,0.2910133243492381
9888d7da-cb31-4e58-a748-19b862b809ce,mineral,stone,102,0,75050,15.0,0.18520572590125542,0.2923587773105612
6197a6ee-30ff-43e2-83da-2acb367d97b9,mineral,stone,136,0,26577,15.0,0.23551814231671572,0.2923587773105612
080702b3-536f-4c17-9b4f-0cd9a820f3df,mineral,stone,192,3,23102,10.0,0.3579333543166299,0.2923587773105612
726cb4f2-98f0-4819-bd4a-b8fe078b78a5,mineral,stone,113,3,38271,12.0,0.39077788670764363,0.2923587773105612
b22fcb29-1c68-4667-b605-29632f061600,gas,roof,75,1,19204,6.0,0.19419277913017038,0.3010008095478596
c8dc1d0d-575b-4826-814d-627228bb7a12,gas,roof,277,3,34192,17.0,0.40780883996554884,0.3010008095478596
64b66018-5cbb-465c-9f13-082cd0b7d8ee,bush,energy,111,0,10199,5.0,0.3311281430148243,0.31349198933940026
080702b3-536f-4c17-9b4f-0cd9a820f3df,bush,energy,163,0,10278,8.0,0.2958558356639763,0.31349198933940026
0e8a5da8-d37e-4833-87a1-8e485cd066bb,city,photosynthesis,121,2,24339,10.0,0.31684692538231396,0.31684692538231396
adbdeeba-4e56-4faa-808e-9e1eee47da90,building,leaf,128,1,20665,5.0,0.2553822047980736,0.3169838834302088
f6155886-f394-4b5d-bdd5-bada2dab06d1,building,leaf,110,1,32386,8.0,0.16826315479218792,0.3169838834302088
d5ac9a96-6169-48ce-830c-60b0e155cc14,building,leaf,193,2,33346,12.0,0.35594054071673087,0.3169838834302088
726cb4f2-98f0-4819-bd4a-b8fe078b78a5,building,leaf,236,1,47522,9.0,0.4883496334138427,0.3169838834302088
55c4ea08-97b8-4169-97c2-a0a96f73b6f9,air,building,127,3,36849,12.0,0.5308121422089397,0.3217477346138628
080702b3-536f-4c17-9b4f-0cd9a820f3df,air,building,170,2,7325,5.0,0.3069187654227768,0.3217477346138628
ed2fed40-af69-4e30-bd01-e12ab3210202,air,building,107,3,19988,7.0,0.12751229620987176,0.3217477346138628
ada91a01-fe01-416c-bff0-40f20596d101,school,tree trunk,5,0,3889,1.0,0.25,0.32376688401487164
