Session,Avg Duration,Avg Rating
137ee348-a5aa-4085-9373-e7f1489b1167,8398.375,5.625
226eedc1-d3f6-4ff8-ae16-2b440233f232,15624.25,4.875
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,6840.125,6.25
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,10741.5,3.625
bb25da4f-802e-431d-8682-1100c2fda775,7413.625,2.125
e5e518a6-5579-4aee-b043-ee8a758d7d2e,16733.25,4.375
2286e5ef-b336-4aac-b718-000183576ac7,4435.875,6.0
ad4d178f-c454-4c22-a1ea-f5571d48e58c,12277.375,5.5
30c1b22c-3acb-46f2-a254-a11ac2538251,6478.375,5.125
f2739032-1dc1-4006-a7e6-d809b0813ef9,4308.875,5.0
1c7da44e-1ffd-443e-90c2-961668d8511a,3854.75,4.0
3f230d77-a4e3-48f8-995d-8d971a8bea38,5330.5,3.875
d3331306-3cf9-415e-a9bf-0b0c959bc2f8,5980.125,5.375
1891bce9-c85a-42e4-b3d9-64d611340a09,6306.875,6.0
9c2d277f-05b4-4648-b82a-f3ec914673fe,4831.25,5.25
97e2e26f-159b-46f0-8633-14c9288ce20f,5827.375,4.125
35620664-dcf0-4c98-a8e2-641796b50481,6780.0,7.625
514f545b-c172-4983-ac0a-35f859d0ba6f,5585.5,3.5
55467cb9-59ec-43a1-bc96-9cab621b75a9,5479.375,3.25
2e1f5a43-b0c6-4e28-8f4f-fcd2ea582fe2,4430.25,6.375
81aa933f-f12c-4038-afcf-76ef8e5f3990,5186.125,5.75
43432c8c-29f9-4484-9ece-a6350ea2b2f6,4589.125,5.625
1c4121b8-9cdb-452b-8646-6384da8b0e22,10471.5,4.375
030e5f75-cf0b-428a-befa-359846267e9c,11062.625,4.125
bc774bd8-3b4d-45ab-abdc-c1bf0d6bed5d,5887.75,3.5
2f98eb67-d231-4e4e-abe0-7b8d6a8b1d1d,7421.375,6.5
58792877-206f-4b1e-a2cd-4efb604c4b9e,5999.875,6.625
4ad833ca-6e2e-470b-bd6b-553b64da9cfc,8059.0,4.25
aa36f67c-0f91-4c40-a982-5f013f9ba108,5382.5,5.5
b694b68f-5443-45a9-8ac2-594df4682e1c,4395.625,2.375
44a04211-9b75-45b5-8b54-621102f07921,4443.0,5.25
e354acef-6884-4fe7-b062-a3f080837239,12961.875,3.375
9411b546-7d6e-48b1-a01a-3d955340f560,3915.875,7.375
b6ba1341-3e7f-4fa9-8ba2-bfcca27fa920,7447.5,5.25
