SessionID,ConceptA,Rating,Duration,ConceptB,qstnr
137ee348-a5aa-4085-9373-e7f1489b1167,tree trunk,7,27774,mineral,0
137ee348-a5aa-4085-9373-e7f1489b1167,branch,3,7834,street,1
137ee348-a5aa-4085-9373-e7f1489b1167,forest,2,5300,gas,2
137ee348-a5aa-4085-9373-e7f1489b1167,water,2,5401,infrastructure,3
137ee348-a5aa-4085-9373-e7f1489b1167,chemistry,7,4928,energy,4
137ee348-a5aa-4085-9373-e7f1489b1167,tree,10,3894,photosynthesis,5
137ee348-a5aa-4085-9373-e7f1489b1167,cellulose,4,5239,air,6
137ee348-a5aa-4085-9373-e7f1489b1167,city,10,6817,school,7
226eedc1-d3f6-4ff8-ae16-2b440233f232,air,1,28478,hospital,0
226eedc1-d3f6-4ff8-ae16-2b440233f232,tree,10,3055,leaf,1
226eedc1-d3f6-4ff8-ae16-2b440233f232,roof,3,70331,street,2
226eedc1-d3f6-4ff8-ae16-2b440233f232,energy,2,6298,mineral,3
226eedc1-d3f6-4ff8-ae16-2b440233f232,teacher,1,3910,forest,4
226eedc1-d3f6-4ff8-ae16-2b440233f232,tree trunk,10,2827,branch,5
226eedc1-d3f6-4ff8-ae16-2b440233f232,culture,7,5587,university,6
226eedc1-d3f6-4ff8-ae16-2b440233f232,city,5,4508,school,7
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,infrastructure,4,20918,water,0
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,leaf,10,5042,chemistry,1
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,teacher,1,7229,branch,2
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,bush,10,2596,park,3
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,cellulose,1,4758,street,4
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,stone,4,4804,school,5
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,plant,10,3018,mineral,6
e72e1b0c-8d08-4a76-ad0e-d7e806ef56cb,tree trunk,10,6356,photosynthesis,7
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,infrastructure,5,31371,street,0
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,park,5,3608,forest,1
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,tree trunk,2,7580,city,2
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,wall,1,18308,school,3
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,air,3,6088,cellulose,4
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,chemistry,1,2927,bush,5
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,university,6,6250,culture,6
fffc7da7-96e8-49fa-ae4b-5a2de2f744d0,house,6,9800,tree,7
bb25da4f-802e-431d-8682-1100c2fda775,plant,2,23398,city,0
bb25da4f-802e-431d-8682-1100c2fda775,university,1,4595,hospital,1
bb25da4f-802e-431d-8682-1100c2fda775,school,1,11421,forest,2
bb25da4f-802e-431d-8682-1100c2fda775,tree trunk,4,3554,leaf,3
bb25da4f-802e-431d-8682-1100c2fda775,bush,3,3839,house,4
bb25da4f-802e-431d-8682-1100c2fda775,photosynthesis,3,3946,chemistry,5
bb25da4f-802e-431d-8682-1100c2fda775,tree,2,2870,culture,6
bb25da4f-802e-431d-8682-1100c2fda775,roof,1,5686,air,7
e5e518a6-5579-4aee-b043-ee8a758d7d2e,energy,3,42697,school,0
